dtregistro;municipio;confirmados;suspeitos;obitos
30-03-2020;Santo Antônio do Sudoeste;19;30;0
31-03-2020;Santo Antônio do Sudoeste;12;19;0
01-04-2020;Santo Antônio do Sudoeste;39;70;1
02-04-2020;Santo Antônio do Sudoeste;26;45;1
03-04-2020;Santo Antônio do Sudoeste;18;32;0
04-04-2020;Santo Antônio do Sudoeste;34;60;0
05-04-2020;Santo Antônio do Sudoeste;26;44;0
06-04-2020;Santo Antônio do Sudoeste;16;32;0
07-04-2020;Santo Antônio do Sudoeste;14;26;0
08-04-2020;Santo Antônio do Sudoeste;23;45;1
09-04-2020;Santo Antônio do Sudoeste;14;26;0
10-04-2020;Santo Antônio do Sudoeste;29;54;0
11-04-2020;Santo Antônio do Sudoeste;21;36;0
12-04-2020;Santo Antônio do Sudoeste;30;52;0
13-04-2020;Santo Antônio do Sudoeste;17;33;0
14-04-2020;Santo Antônio do Sudoeste;15;29;0
15-04-2020;Santo Antônio do Sudoeste;33;63;0
16-04-2020;Santo Antônio do Sudoeste;31;59;1
17-04-2020;Santo Antônio do Sudoeste;12;22;0
18-04-2020;Santo Antônio do Sudoeste;15;25;0
19-04-2020;Santo Antônio do Sudoeste;16;29;0
20-04-2020;Santo Antônio do Sudoeste;17;31;0
21-04-2020;Santo Antônio do Sudoeste;16;31;0
22-04-2020;Santo Antônio do Sudoeste;29;48;0
23-04-2020;Santo Antônio do Sudoeste;29;52;0
24-04-2020;Santo Antônio do Sudoeste;37;65;1
25-04-2020;Santo Antônio do Sudoeste;32;62;0
26-04-2020;Santo Antônio do Sudoeste;15;27;0
27-04-2020;Santo Antônio do Sudoeste;13;22;0
28-04-2020;Santo Antônio do Sudoeste;29;50;1
29-04-2020;Santo Antônio do Sudoeste;19;31;0
30-04-2020;Santo Antônio do Sudoeste;28;52;0
01-05-2020;Santo Antônio do Sudoeste;22;39;0
02-05-2020;Santo Antônio do Sudoeste;20;37;0
03-05-2020;Santo Antônio do Sudoeste;18;30;0
04-05-2020;Santo Antônio do Sudoeste;24;40;0
05-05-2020;Santo Antônio do Sudoeste;24;45;1
06-05-2020;Santo Antônio do Sudoeste;25;46;0
07-05-2020;Santo Antônio do Sudoeste;18;34;0
08-05-2020;Santo Antônio do Sudoeste;17;34;0
09-05-2020;Santo Antônio do Sudoeste;36;69;0
10-05-2020;Santo Antônio do Sudoeste;14;28;0
11-05-2020;Santo Antônio do Sudoeste;31;57;1
12-05-2020;Santo Antônio do Sudoeste;31;61;0
13-05-2020;Santo Antônio do Sudoeste;27;51;0
14-05-2020;Santo Antônio do Sudoeste;11;19;0
15-05-2020;Santo Antônio do Sudoeste;24;44;1
16-05-2020;Santo Antônio do Sudoeste;35;68;1
17-05-2020;Santo Antônio do Sudoeste;27;53;0
18-05-2020;Santo Antônio do Sudoeste;15;30;0
19-05-2020;Santo Antônio do Sudoeste;32;57;1
20-05-2020;Santo Antônio do Sudoeste;12;19;0
21-05-2020;Santo Antônio do Sudoeste;11;20;0
22-05-2020;Santo Antônio do Sudoeste;32;59;0
23-05-2020;Santo Antônio do Sudoeste;10;20;0
24-05-2020;Santo Antônio do Sudoeste;32;64;1
25-05-2020;Santo Antônio do Sudoeste;40;73;1
26-05-2020;Santo Antônio do Sudoeste;31;56;0
27-05-2020;Santo Antônio do Sudoeste;39;67;1
28-05-2020;Santo Antônio do Sudoeste;23;46;1
29-05-2020;Santo Antônio do Sudoeste;16;31;0
30-05-2020;Santo Antônio do Sudoeste;26;50;0
31-05-2020;Santo Antônio do Sudoeste;23;46;1
01-06-2020;Santo Antônio do Sudoeste;11;21;0
02-06-2020;Santo Antônio do Sudoeste;11;20;0
03-06-2020;Santo Antônio do Sudoeste;20;36;0
04-06-2020;Santo Antônio do Sudoeste;33;60;0
05-06-2020;Santo Antônio do Sudoeste;33;53;0
06-06-2020;Santo Antônio do Sudoeste;38;61;0
07-06-2020;Santo Antônio do Sudoeste;13;24;0
08-06-2020;Santo Antônio do Sudoeste;20;32;0
09-06-2020;Santo Antônio do Sudoeste;24;47;0
10-06-2020;Santo Antônio do Sudoeste;32;53;1
11-06-2020;Santo Antônio do Sudoeste;29;54;0
12-06-2020;Santo Antônio do Sudoeste;37;74;1
13-06-2020;Santo Antônio do Sudoeste;17;31;0
14-06-2020;Santo Antônio do Sudoeste;29;51;0
15-06-2020;Santo Antônio do Sudoeste;32;52;1
16-06-2020;Santo Antônio do Sudoeste;32;58;1
17-06-2020;Santo Antônio do Sudoeste;23;45;0
18-06-2020;Santo Antônio do Sudoeste;24;45;0
19-06-2020;Santo Antônio do Sudoeste;30;60;0
20-06-2020;Santo Antônio do Sudoeste;15;28;0
21-06-2020;Santo Antônio do Sudoeste;27;46;1
22-06-2020;Santo Antônio do Sudoeste;21;40;0
23-06-2020;Santo Antônio do Sudoeste;21;34;0
24-06-2020;Santo Antônio do Sudoeste;34;65;1
25-06-2020;Santo Antônio do Sudoeste;32;64;1
26-06-2020;Santo Antônio do Sudoeste;37;65;1
27-06-2020;Santo Antônio do Sudoeste;16;26;0
28-06-2020;Santo Antônio do Sudoeste;36;65;0
29-06-2020;Santo Antônio do Sudoeste;14;26;0
30-06-2020;Santo Antônio do Sudoeste;40;73;0
01-07-2020;Santo Antônio do Sudoeste;11;21;0
02-07-2020;Santo Antônio do Sudoeste;27;54;1
03-07-2020;Santo Antônio do Sudoeste;33;63;0
04-07-2020;Santo Antônio do Sudoeste;39;78;0
05-07-2020;Santo Antônio do Sudoeste;26;49;0
06-07-2020;Santo Antônio do Sudoeste;36;70;1
07-07-2020;Santo Antônio do Sudoeste;38;68;0
08-07-2020;Santo Antônio do Sudoeste;32;61;1
09-07-2020;Santo Antônio do Sudoeste;17;29;0
10-07-2020;Santo Antônio do Sudoeste;17;31;0
11-07-2020;Santo Antônio do Sudoeste;27;49;0
12-07-2020;Santo Antônio do Sudoeste;40;66;1
13-07-2020;Santo Antônio do Sudoeste;27;45;0
14-07-2020;Santo Antônio do Sudoeste;21;39;0
15-07-2020;Santo Antônio do Sudoeste;16;28;0
16-07-2020;Santo Antônio do Sudoeste;33;66;1
17-07-2020;Santo Antônio do Sudoeste;27;49;1
18-07-2020;Santo Antônio do Sudoeste;19;34;0
19-07-2020;Santo Antônio do Sudoeste;11;21;0
20-07-2020;Santo Antônio do Sudoeste;33;65;1
21-07-2020;Santo Antônio do Sudoeste;20;40;0
22-07-2020;Santo Antônio do Sudoeste;17;28;0
23-07-2020;Santo Antônio do Sudoeste;40;78;1
24-07-2020;Santo Antônio do Sudoeste;28;49;1
25-07-2020;Santo Antônio do Sudoeste;22;42;0
26-07-2020;Santo Antônio do Sudoeste;35;65;0
27-07-2020;Santo Antônio do Sudoeste;35;69;0
28-07-2020;Santo Antônio do Sudoeste;29;53;0
29-07-2020;Santo Antônio do Sudoeste;29;54;1
30-07-2020;Santo Antônio do Sudoeste;17;32;0
31-07-2020;Santo Antônio do Sudoeste;12;22;0
01-08-2020;Santo Antônio do Sudoeste;31;58;1
02-08-2020;Santo Antônio do Sudoeste;31;52;1
03-08-2020;Santo Antônio do Sudoeste;31;57;0
04-08-2020;Santo Antônio do Sudoeste;16;31;0
05-08-2020;Santo Antônio do Sudoeste;24;44;0
06-08-2020;Santo Antônio do Sudoeste;17;29;0
07-08-2020;Santo Antônio do Sudoeste;15;29;0
08-08-2020;Santo Antônio do Sudoeste;31;62;0
09-08-2020;Santo Antônio do Sudoeste;18;35;0
10-08-2020;Santo Antônio do Sudoeste;37;66;1
11-08-2020;Santo Antônio do Sudoeste;14;24;0
12-08-2020;Santo Antônio do Sudoeste;29;55;1
13-08-2020;Santo Antônio do Sudoeste;32;57;0
14-08-2020;Santo Antônio do Sudoeste;26;48;0
15-08-2020;Santo Antônio do Sudoeste;18;33;0
16-08-2020;Santo Antônio do Sudoeste;18;34;0
17-08-2020;Santo Antônio do Sudoeste;13;22;0
18-08-2020;Santo Antônio do Sudoeste;19;35;0
19-08-2020;Santo Antônio do Sudoeste;25;40;0
20-08-2020;Santo Antônio do Sudoeste;18;36;1
21-08-2020;Santo Antônio do Sudoeste;18;30;0
22-08-2020;Santo Antônio do Sudoeste;30;53;0
23-08-2020;Santo Antônio do Sudoeste;34;67;0
24-08-2020;Santo Antônio do Sudoeste;22;36;0
25-08-2020;Santo Antônio do Sudoeste;26;42;0
26-08-2020;Santo Antônio do Sudoeste;34;64;1
27-08-2020;Santo Antônio do Sudoeste;27;51;1
28-08-2020;Santo Antônio do Sudoeste;26;51;0
29-08-2020;Santo Antônio do Sudoeste;28;49;1
30-08-2020;Santo Antônio do Sudoeste;20;34;1
31-08-2020;Santo Antônio do Sudoeste;22;41;1
01-09-2020;Santo Antônio do Sudoeste;25;43;1
02-09-2020;Santo Antônio do Sudoeste;40;80;0
03-09-2020;Santo Antônio do Sudoeste;11;22;0
04-09-2020;Santo Antônio do Sudoeste;24;40;1
05-09-2020;Santo Antônio do Sudoeste;11;20;0
06-09-2020;Santo Antônio do Sudoeste;39;66;1
07-09-2020;Santo Antônio do Sudoeste;11;20;0
08-09-2020;Santo Antônio do Sudoeste;37;70;0
09-09-2020;Santo Antônio do Sudoeste;27;43;0
10-09-2020;Santo Antônio do Sudoeste;35;67;0
11-09-2020;Santo Antônio do Sudoeste;21;36;0
12-09-2020;Santo Antônio do Sudoeste;30;49;0
13-09-2020;Santo Antônio do Sudoeste;33;63;0
14-09-2020;Santo Antônio do Sudoeste;32;56;0
15-09-2020;Santo Antônio do Sudoeste;20;38;0
16-09-2020;Santo Antônio do Sudoeste;34;55;0
17-09-2020;Santo Antônio do Sudoeste;10;18;0
18-09-2020;Santo Antônio do Sudoeste;14;26;0
19-09-2020;Santo Antônio do Sudoeste;35;66;0
20-09-2020;Santo Antônio do Sudoeste;26;42;1
21-09-2020;Santo Antônio do Sudoeste;30;51;1
22-09-2020;Santo Antônio do Sudoeste;27;49;0
23-09-2020;Santo Antônio do Sudoeste;19;32;0
24-09-2020;Santo Antônio do Sudoeste;38;63;0
25-09-2020;Santo Antônio do Sudoeste;14;27;0
26-09-2020;Santo Antônio do Sudoeste;27;50;0
27-09-2020;Santo Antônio do Sudoeste;21;35;1
28-09-2020;Santo Antônio do Sudoeste;14;27;0
29-09-2020;Santo Antônio do Sudoeste;17;33;0
30-09-2020;Santo Antônio do Sudoeste;23;39;0
01-10-2020;Santo Antônio do Sudoeste;35;65;0
02-10-2020;Santo Antônio do Sudoeste;25;46;0
03-10-2020;Santo Antônio do Sudoeste;23;45;1
04-10-2020;Santo Antônio do Sudoeste;35;64;1
05-10-2020;Santo Antônio do Sudoeste;17;32;0
06-10-2020;Santo Antônio do Sudoeste;29;56;0
07-10-2020;Santo Antônio do Sudoeste;13;24;0
08-10-2020;Santo Antônio do Sudoeste;31;51;0
09-10-2020;Santo Antônio do Sudoeste;15;28;0
10-10-2020;Santo Antônio do Sudoeste;15;27;0
11-10-2020;Santo Antônio do Sudoeste;33;53;1
12-10-2020;Santo Antônio do Sudoeste;36;63;1
13-10-2020;Santo Antônio do Sudoeste;22;40;0
14-10-2020;Santo Antônio do Sudoeste;15;24;0
15-10-2020;Santo Antônio do Sudoeste;28;54;0
16-10-2020;Santo Antônio do Sudoeste;19;35;0
17-10-2020;Santo Antônio do Sudoeste;32;56;0
18-10-2020;Santo Antônio do Sudoeste;14;24;0
19-10-2020;Santo Antônio do Sudoeste;13;21;0
20-10-2020;Santo Antônio do Sudoeste;34;55;1
21-10-2020;Santo Antônio do Sudoeste;36;58;1
22-10-2020;Santo Antônio do Sudoeste;23;43;1
23-10-2020;Santo Antônio do Sudoeste;24;39;0
24-10-2020;Santo Antônio do Sudoeste;20;34;0
25-10-2020;Santo Antônio do Sudoeste;27;52;0
26-10-2020;Santo Antônio do Sudoeste;10;19;0
27-10-2020;Santo Antônio do Sudoeste;17;34;1
28-10-2020;Santo Antônio do Sudoeste;29;56;1
29-10-2020;Santo Antônio do Sudoeste;24;42;1
30-10-2020;Santo Antônio do Sudoeste;32;55;0
31-10-2020;Santo Antônio do Sudoeste;27;49;0
01-11-2020;Santo Antônio do Sudoeste;20;39;0
02-11-2020;Santo Antônio do Sudoeste;18;35;0
03-11-2020;Santo Antônio do Sudoeste;13;25;0
04-11-2020;Santo Antônio do Sudoeste;10;18;0
05-11-2020;Santo Antônio do Sudoeste;38;73;0
06-11-2020;Santo Antônio do Sudoeste;28;45;1
07-11-2020;Santo Antônio do Sudoeste;20;35;0
08-11-2020;Santo Antônio do Sudoeste;25;44;0
09-11-2020;Santo Antônio do Sudoeste;16;30;0
10-11-2020;Santo Antônio do Sudoeste;38;63;1
11-11-2020;Santo Antônio do Sudoeste;18;35;0
12-11-2020;Santo Antônio do Sudoeste;38;76;1
13-11-2020;Santo Antônio do Sudoeste;34;61;0
14-11-2020;Santo Antônio do Sudoeste;25;43;0
15-11-2020;Santo Antônio do Sudoeste;27;47;0
16-11-2020;Santo Antônio do Sudoeste;34;64;0
17-11-2020;Santo Antônio do Sudoeste;30;58;0
18-11-2020;Santo Antônio do Sudoeste;24;44;0
19-11-2020;Santo Antônio do Sudoeste;23;43;0
20-11-2020;Santo Antônio do Sudoeste;39;77;0
21-11-2020;Santo Antônio do Sudoeste;20;39;0
22-11-2020;Santo Antônio do Sudoeste;23;39;0
23-11-2020;Santo Antônio do Sudoeste;25;45;0
24-11-2020;Santo Antônio do Sudoeste;13;26;0
25-11-2020;Santo Antônio do Sudoeste;27;52;0
26-11-2020;Santo Antônio do Sudoeste;11;19;0
27-11-2020;Santo Antônio do Sudoeste;27;53;0
28-11-2020;Santo Antônio do Sudoeste;19;32;0
29-11-2020;Santo Antônio do Sudoeste;37;73;1
30-11-2020;Santo Antônio do Sudoeste;17;31;0
01-12-2020;Santo Antônio do Sudoeste;22;36;0
02-12-2020;Santo Antônio do Sudoeste;10;20;0
03-12-2020;Santo Antônio do Sudoeste;18;30;0
04-12-2020;Santo Antônio do Sudoeste;35;67;1
05-12-2020;Santo Antônio do Sudoeste;32;54;0
06-12-2020;Santo Antônio do Sudoeste;38;74;0
07-12-2020;Santo Antônio do Sudoeste;18;35;0
08-12-2020;Santo Antônio do Sudoeste;35;62;1
09-12-2020;Santo Antônio do Sudoeste;15;25;0
10-12-2020;Santo Antônio do Sudoeste;26;49;1
11-12-2020;Santo Antônio do Sudoeste;13;24;0
12-12-2020;Santo Antônio do Sudoeste;17;32;0
13-12-2020;Santo Antônio do Sudoeste;34;55;1
14-12-2020;Santo Antônio do Sudoeste;32;51;0
15-12-2020;Santo Antônio do Sudoeste;29;47;0
16-12-2020;Santo Antônio do Sudoeste;15;24;0
17-12-2020;Santo Antônio do Sudoeste;36;65;0
18-12-2020;Santo Antônio do Sudoeste;38;71;0
19-12-2020;Santo Antônio do Sudoeste;11;20;0
20-12-2020;Santo Antônio do Sudoeste;39;77;1
21-12-2020;Santo Antônio do Sudoeste;19;36;1
22-12-2020;Santo Antônio do Sudoeste;19;33;0
23-12-2020;Santo Antônio do Sudoeste;12;21;0
24-12-2020;Santo Antônio do Sudoeste;25;47;0
25-12-2020;Santo Antônio do Sudoeste;38;69;1
26-12-2020;Santo Antônio do Sudoeste;12;22;0
27-12-2020;Santo Antônio do Sudoeste;38;71;0
28-12-2020;Santo Antônio do Sudoeste;15;26;0
29-12-2020;Santo Antônio do Sudoeste;39;73;0
30-12-2020;Santo Antônio do Sudoeste;27;52;0
31-12-2020;Santo Antônio do Sudoeste;24;43;1
01-01-2021;Santo Antônio do Sudoeste;21;38;0
02-01-2021;Santo Antônio do Sudoeste;16;28;0
03-01-2021;Santo Antônio do Sudoeste;36;71;1
04-01-2021;Santo Antônio do Sudoeste;29;52;0
05-01-2021;Santo Antônio do Sudoeste;23;41;0
06-01-2021;Santo Antônio do Sudoeste;22;44;0
07-01-2021;Santo Antônio do Sudoeste;32;56;1
08-01-2021;Santo Antônio do Sudoeste;27;47;0
09-01-2021;Santo Antônio do Sudoeste;13;23;0
10-01-2021;Santo Antônio do Sudoeste;22;39;0
11-01-2021;Santo Antônio do Sudoeste;26;48;1
12-01-2021;Santo Antônio do Sudoeste;34;66;0
13-01-2021;Santo Antônio do Sudoeste;34;64;0
14-01-2021;Santo Antônio do Sudoeste;14;22;0
15-01-2021;Santo Antônio do Sudoeste;12;22;0
16-01-2021;Santo Antônio do Sudoeste;39;67;0
17-01-2021;Santo Antônio do Sudoeste;35;69;0
18-01-2021;Santo Antônio do Sudoeste;16;32;0
19-01-2021;Santo Antônio do Sudoeste;14;23;0
20-01-2021;Santo Antônio do Sudoeste;20;39;0
21-01-2021;Santo Antônio do Sudoeste;21;35;0
22-01-2021;Santo Antônio do Sudoeste;40;77;0
23-01-2021;Santo Antônio do Sudoeste;33;59;1
24-01-2021;Santo Antônio do Sudoeste;12;22;0
25-01-2021;Santo Antônio do Sudoeste;31;58;0
26-01-2021;Santo Antônio do Sudoeste;18;33;0
27-01-2021;Santo Antônio do Sudoeste;23;38;1
28-01-2021;Santo Antônio do Sudoeste;30;59;0
29-01-2021;Santo Antônio do Sudoeste;23;44;0
30-01-2021;Santo Antônio do Sudoeste;29;56;0
31-01-2021;Santo Antônio do Sudoeste;17;32;0
01-02-2021;Santo Antônio do Sudoeste;34;63;1
02-02-2021;Santo Antônio do Sudoeste;34;60;0
03-02-2021;Santo Antônio do Sudoeste;39;72;0
04-02-2021;Santo Antônio do Sudoeste;29;55;0
05-02-2021;Santo Antônio do Sudoeste;32;55;1
06-02-2021;Santo Antônio do Sudoeste;28;50;0
07-02-2021;Santo Antônio do Sudoeste;37;71;1
08-02-2021;Santo Antônio do Sudoeste;27;53;1
09-02-2021;Santo Antônio do Sudoeste;36;59;1
10-02-2021;Santo Antônio do Sudoeste;33;59;0
11-02-2021;Santo Antônio do Sudoeste;36;69;1
12-02-2021;Santo Antônio do Sudoeste;39;68;0
13-02-2021;Santo Antônio do Sudoeste;23;46;1
14-02-2021;Santo Antônio do Sudoeste;13;24;0
15-02-2021;Santo Antônio do Sudoeste;36;60;0
16-02-2021;Santo Antônio do Sudoeste;22;43;0
17-02-2021;Santo Antônio do Sudoeste;30;53;1
18-02-2021;Santo Antônio do Sudoeste;14;24;0
19-02-2021;Santo Antônio do Sudoeste;26;50;1
20-02-2021;Santo Antônio do Sudoeste;25;50;0
21-02-2021;Santo Antônio do Sudoeste;17;28;0
22-02-2021;Santo Antônio do Sudoeste;28;50;0
23-02-2021;Santo Antônio do Sudoeste;38;70;1
24-02-2021;Santo Antônio do Sudoeste;13;24;0
25-02-2021;Santo Antônio do Sudoeste;38;74;0
26-02-2021;Santo Antônio do Sudoeste;29;52;0
27-02-2021;Santo Antônio do Sudoeste;15;29;0
28-02-2021;Santo Antônio do Sudoeste;33;65;1
01-03-2021;Santo Antônio do Sudoeste;20;35;0
02-03-2021;Santo Antônio do Sudoeste;29;51;1
03-03-2021;Santo Antônio do Sudoeste;23;42;0
04-03-2021;Santo Antônio do Sudoeste;22;37;0
05-03-2021;Santo Antônio do Sudoeste;36;68;1
06-03-2021;Santo Antônio do Sudoeste;23;38;0
07-03-2021;Santo Antônio do Sudoeste;28;51;0
08-03-2021;Santo Antônio do Sudoeste;35;68;0
09-03-2021;Santo Antônio do Sudoeste;19;36;0
10-03-2021;Santo Antônio do Sudoeste;28;54;0
11-03-2021;Santo Antônio do Sudoeste;34;60;1
12-03-2021;Santo Antônio do Sudoeste;37;67;1
13-03-2021;Santo Antônio do Sudoeste;29;48;0
14-03-2021;Santo Antônio do Sudoeste;26;50;0
15-03-2021;Santo Antônio do Sudoeste;27;48;0
16-03-2021;Santo Antônio do Sudoeste;38;70;0
17-03-2021;Santo Antônio do Sudoeste;21;38;0
18-03-2021;Santo Antônio do Sudoeste;22;38;0
19-03-2021;Santo Antônio do Sudoeste;26;47;0
20-03-2021;Santo Antônio do Sudoeste;21;42;0
21-03-2021;Santo Antônio do Sudoeste;23;40;0
22-03-2021;Santo Antônio do Sudoeste;27;48;1
23-03-2021;Santo Antônio do Sudoeste;40;68;1
24-03-2021;Santo Antônio do Sudoeste;15;30;0
25-03-2021;Santo Antônio do Sudoeste;38;75;1
26-03-2021;Santo Antônio do Sudoeste;15;28;0
27-03-2021;Santo Antônio do Sudoeste;37;67;1
28-03-2021;Santo Antônio do Sudoeste;39;78;1
29-03-2021;Santo Antônio do Sudoeste;18;34;0
30-03-2021;Santo Antônio do Sudoeste;17;28;0
31-03-2021;Santo Antônio do Sudoeste;14;23;0
01-04-2021;Santo Antônio do Sudoeste;16;28;0
02-04-2021;Santo Antônio do Sudoeste;17;30;0
03-04-2021;Santo Antônio do Sudoeste;30;52;0
04-04-2021;Santo Antônio do Sudoeste;26;46;1
05-04-2021;Santo Antônio do Sudoeste;31;62;0
06-04-2021;Santo Antônio do Sudoeste;35;57;0
07-04-2021;Santo Antônio do Sudoeste;16;32;0
08-04-2021;Santo Antônio do Sudoeste;22;40;0
09-04-2021;Santo Antônio do Sudoeste;25;41;1
10-04-2021;Santo Antônio do Sudoeste;22;44;1
11-04-2021;Santo Antônio do Sudoeste;10;16;0
12-04-2021;Santo Antônio do Sudoeste;24;46;0
13-04-2021;Santo Antônio do Sudoeste;32;56;0
14-04-2021;Santo Antônio do Sudoeste;12;20;0
15-04-2021;Santo Antônio do Sudoeste;40;67;1
16-04-2021;Santo Antônio do Sudoeste;33;65;1
17-04-2021;Santo Antônio do Sudoeste;37;66;0
18-04-2021;Santo Antônio do Sudoeste;22;38;0
19-04-2021;Santo Antônio do Sudoeste;37;69;0
20-04-2021;Santo Antônio do Sudoeste;20;33;1
21-04-2021;Santo Antônio do Sudoeste;39;63;0
22-04-2021;Santo Antônio do Sudoeste;36;58;1
23-04-2021;Santo Antônio do Sudoeste;26;50;0
24-04-2021;Santo Antônio do Sudoeste;38;69;1
25-04-2021;Santo Antônio do Sudoeste;13;24;0
26-04-2021;Santo Antônio do Sudoeste;15;28;0
27-04-2021;Santo Antônio do Sudoeste;16;30;0
28-04-2021;Santo Antônio do Sudoeste;23;41;1
29-04-2021;Santo Antônio do Sudoeste;17;32;1
30-04-2021;Santo Antônio do Sudoeste;31;62;1
01-05-2021;Santo Antônio do Sudoeste;34;65;1
02-05-2021;Santo Antônio do Sudoeste;33;66;1
03-05-2021;Santo Antônio do Sudoeste;21;35;0
04-05-2021;Santo Antônio do Sudoeste;13;22;0
05-05-2021;Santo Antônio do Sudoeste;18;29;0
06-05-2021;Santo Antônio do Sudoeste;37;66;1
07-05-2021;Santo Antônio do Sudoeste;10;16;0
08-05-2021;Santo Antônio do Sudoeste;26;51;1
09-05-2021;Santo Antônio do Sudoeste;18;33;0
10-05-2021;Santo Antônio do Sudoeste;18;35;0
11-05-2021;Santo Antônio do Sudoeste;27;45;1
12-05-2021;Santo Antônio do Sudoeste;33;59;0
13-05-2021;Santo Antônio do Sudoeste;14;27;0
14-05-2021;Santo Antônio do Sudoeste;19;37;0
15-05-2021;Santo Antônio do Sudoeste;21;41;1
16-05-2021;Santo Antônio do Sudoeste;15;28;0
17-05-2021;Santo Antônio do Sudoeste;15;29;0
18-05-2021;Santo Antônio do Sudoeste;36;70;0
19-05-2021;Santo Antônio do Sudoeste;32;62;1
20-05-2021;Santo Antônio do Sudoeste;11;18;0
21-05-2021;Santo Antônio do Sudoeste;20;36;0
22-05-2021;Santo Antônio do Sudoeste;24;44;1
23-05-2021;Santo Antônio do Sudoeste;25;46;0
24-05-2021;Santo Antônio do Sudoeste;27;46;1
25-05-2021;Santo Antônio do Sudoeste;17;30;0
26-05-2021;Santo Antônio do Sudoeste;20;38;0
27-05-2021;Santo Antônio do Sudoeste;19;34;0
28-05-2021;Santo Antônio do Sudoeste;28;53;0
29-05-2021;Santo Antônio do Sudoeste;32;58;0
30-05-2021;Santo Antônio do Sudoeste;12;23;0
31-05-2021;Santo Antônio do Sudoeste;33;63;0
01-06-2021;Santo Antônio do Sudoeste;24;39;1
02-06-2021;Santo Antônio do Sudoeste;26;48;0
03-06-2021;Santo Antônio do Sudoeste;21;35;0
04-06-2021;Santo Antônio do Sudoeste;14;27;0
05-06-2021;Santo Antônio do Sudoeste;33;53;0
06-06-2021;Santo Antônio do Sudoeste;23;40;0
07-06-2021;Santo Antônio do Sudoeste;39;69;0
08-06-2021;Santo Antônio do Sudoeste;18;33;0
09-06-2021;Santo Antônio do Sudoeste;38;63;1
10-06-2021;Santo Antônio do Sudoeste;21;41;0
11-06-2021;Santo Antônio do Sudoeste;12;22;0
12-06-2021;Santo Antônio do Sudoeste;15;29;0
13-06-2021;Santo Antônio do Sudoeste;33;56;1
14-06-2021;Santo Antônio do Sudoeste;24;39;0
15-06-2021;Santo Antônio do Sudoeste;25;41;1
16-06-2021;Santo Antônio do Sudoeste;25;45;0
17-06-2021;Santo Antônio do Sudoeste;12;20;0
18-06-2021;Santo Antônio do Sudoeste;21;38;0
19-06-2021;Santo Antônio do Sudoeste;37;68;1
20-06-2021;Santo Antônio do Sudoeste;16;28;0
21-06-2021;Santo Antônio do Sudoeste;38;61;1
22-06-2021;Santo Antônio do Sudoeste;40;73;1
23-06-2021;Santo Antônio do Sudoeste;20;33;0
24-06-2021;Santo Antônio do Sudoeste;29;56;0
25-06-2021;Santo Antônio do Sudoeste;12;23;0
26-06-2021;Santo Antônio do Sudoeste;29;53;0
27-06-2021;Santo Antônio do Sudoeste;27;54;0
28-06-2021;Santo Antônio do Sudoeste;22;37;0
29-06-2021;Santo Antônio do Sudoeste;15;25;0
30-06-2021;Santo Antônio do Sudoeste;31;60;1
01-07-2021;Santo Antônio do Sudoeste;20;38;1
02-07-2021;Santo Antônio do Sudoeste;29;51;0
03-07-2021;Santo Antônio do Sudoeste;25;45;1
04-07-2021;Santo Antônio do Sudoeste;19;34;0
05-07-2021;Santo Antônio do Sudoeste;25;46;0
06-07-2021;Santo Antônio do Sudoeste;16;30;0
07-07-2021;Santo Antônio do Sudoeste;21;41;0
08-07-2021;Santo Antônio do Sudoeste;26;52;1
09-07-2021;Santo Antônio do Sudoeste;30;54;1
10-07-2021;Santo Antônio do Sudoeste;22;41;0
11-07-2021;Santo Antônio do Sudoeste;28;45;0
12-07-2021;Santo Antônio do Sudoeste;36;65;1
13-07-2021;Santo Antônio do Sudoeste;24;43;1
14-07-2021;Santo Antônio do Sudoeste;38;76;0
15-07-2021;Santo Antônio do Sudoeste;22;41;0
16-07-2021;Santo Antônio do Sudoeste;11;21;0
17-07-2021;Santo Antônio do Sudoeste;25;46;0
18-07-2021;Santo Antônio do Sudoeste;26;49;0
19-07-2021;Santo Antônio do Sudoeste;35;57;0
20-07-2021;Santo Antônio do Sudoeste;16;31;0
21-07-2021;Santo Antônio do Sudoeste;32;56;1
22-07-2021;Santo Antônio do Sudoeste;24;42;0
23-07-2021;Santo Antônio do Sudoeste;25;43;1
24-07-2021;Santo Antônio do Sudoeste;39;71;1
25-07-2021;Santo Antônio do Sudoeste;21;35;0
26-07-2021;Santo Antônio do Sudoeste;28;52;0
27-07-2021;Santo Antônio do Sudoeste;23;38;0
28-07-2021;Santo Antônio do Sudoeste;32;52;0
29-07-2021;Santo Antônio do Sudoeste;39;74;1
30-07-2021;Santo Antônio do Sudoeste;16;30;0
31-07-2021;Santo Antônio do Sudoeste;28;53;0
01-08-2021;Santo Antônio do Sudoeste;37;73;0
02-08-2021;Santo Antônio do Sudoeste;10;18;0
03-08-2021;Santo Antônio do Sudoeste;34;65;1
04-08-2021;Santo Antônio do Sudoeste;38;74;0
05-08-2021;Santo Antônio do Sudoeste;15;27;0
06-08-2021;Santo Antônio do Sudoeste;24;45;1
07-08-2021;Santo Antônio do Sudoeste;14;28;0
08-08-2021;Santo Antônio do Sudoeste;33;60;0
09-08-2021;Santo Antônio do Sudoeste;29;49;1
10-08-2021;Santo Antônio do Sudoeste;22;37;0
